Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,99.49,99.61,98.31,98.88,4393700,98.41
2014-11-28,98.06,99.80,98.00,99.40,3305800,98.93
2014-11-26,97.06,97.71,97.01,97.70,4337900,97.24
2014-11-25,98.64,98.87,96.41,97.01,7991900,96.55
2014-11-24,98.68,98.90,98.22,98.40,5043600,97.93
2014-11-21,98.98,99.10,97.82,98.28,6804700,97.81
2014-11-20,96.08,97.97,96.02,97.57,4958400,97.11
2014-11-19,96.55,97.31,96.00,96.70,6830700,96.24
2014-11-18,97.15,97.71,95.98,95.98,10384400,95.52
2014-11-17,98.17,98.95,97.80,98.03,8574700,97.56
2014-11-14,98.90,99.00,98.02,98.24,4082900,97.77
2014-11-13,98.90,99.36,98.34,99.00,3182700,98.53
2014-11-12,98.30,98.70,97.61,98.49,4629100,98.02
2014-11-11,98.46,98.75,97.88,98.14,3818400,97.67
2014-11-10,97.64,98.17,97.00,98.16,3662300,97.69
2014-11-07,97.17,97.75,96.69,97.65,3429600,97.19
2014-11-06,96.35,97.51,96.01,97.29,4016900,96.83
2014-11-05,96.59,96.85,95.15,95.78,5002700,95.32
2014-11-04,96.06,96.18,95.19,95.96,5349600,95.50
2014-11-03,96.81,96.83,95.98,96.09,7614200,95.63
2014-10-31,98.78,99.26,97.33,97.52,6335900,97.06
2014-10-30,96.12,97.80,96.03,97.52,4106700,97.06
2014-10-29,96.62,97.25,95.80,96.42,4275400,95.96
2014-10-28,95.91,96.60,95.50,96.59,5260100,96.13
2014-10-27,94.96,95.68,94.71,95.47,4465100,95.02
2014-10-24,94.60,95.19,94.13,94.99,4825200,94.54
2014-10-23,94.50,95.52,94.44,94.80,5923100,94.35
2014-10-22,94.30,94.99,93.24,93.34,5908900,92.90
2014-10-21,92.53,94.37,92.12,94.20,6604700,93.75
2014-10-20,89.87,92.07,89.77,91.85,5609400,91.41
2014-10-17,89.30,91.12,89.05,90.24,7007300,89.81
2014-10-16,86.35,89.72,86.35,88.88,7147600,88.46
2014-10-15,88.09,89.17,86.62,87.85,12987500,87.43
2014-10-14,90.37,90.53,88.52,90.10,9711300,89.67
2014-10-13,92.88,92.94,90.43,90.60,7372200,90.17
2014-10-10,93.23,93.86,92.54,92.55,6349800,92.11
2014-10-09,93.91,94.79,93.02,93.07,6674700,92.63
2014-10-08,92.57,94.16,92.24,94.09,6618900,93.64
2014-10-07,93.04,93.56,92.44,92.47,5030300,92.03
2014-10-06,93.72,94.25,93.06,93.26,4951700,92.82
2014-10-03,92.52,93.68,92.34,93.54,6200100,93.10
2014-10-02,91.31,92.46,91.07,92.24,5991200,91.80
2014-10-01,92.14,92.34,90.92,91.02,5970700,90.59
2014-09-30,93.03,93.21,91.40,91.74,6773000,91.30
2014-09-29,92.37,93.17,91.95,92.88,3894600,92.44
2014-09-26,92.29,93.00,91.80,92.84,4571400,92.40
2014-09-25,92.80,93.00,91.55,91.90,4972100,91.46
2014-09-24,91.68,93.11,91.35,93.02,6381400,92.58
2014-09-23,91.79,92.22,91.45,91.49,6330000,91.06
